,maintanance_job_code,eo_code,eo_description,eo_main_description,level_1,level_upper,avearage_day_operation_hours,level_1_description
96,100000084403_18,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
97,100000084403_19,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
98,100000084403_20,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
99,100000084403_21,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
100,100000084403_22,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
101,100000084403_23,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
102,100000084403_24,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
103,100000084403_25,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
104,100000084403_26,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
105,100000084403_27,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
106,100000084403_28,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
107,100000084403_29,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
108,100000084403_30,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
109,100000084403_31,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
110,100000084403_32,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
111,100000084403_33,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
112,100000084403_34,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
113,100000084403_35,100000084403,Самосвал карьерный 730E-8 №20,Самосвал карьерный 730E-8 №20,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
114,100000084400_17,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
115,100000084400_18,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
116,100000084400_19,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
117,100000084400_20,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
118,100000084400_21,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
119,100000084400_22,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
120,100000084400_23,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
121,100000084400_24,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
122,100000084400_25,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
123,100000084400_26,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
124,100000084400_27,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
125,100000084400_28,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
126,100000084400_29,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
127,100000084400_30,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
128,100000084400_31,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
129,100000084400_32,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
130,100000084400_33,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
131,100000084400_34,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
132,100000084400_35,100000084400,Самосвал карьерный 730E-8 №17,Самосвал карьерный 730E-8 №17,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
133,100000084401_17,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
134,100000084401_18,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
135,100000084401_19,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
136,100000084401_20,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
